UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",259,"R",54,"R",55,"R",100,"R",45,"R",0,"R",5
100654,10,"R",259,"R",54,"R",55,"R",100,"R",45,"R",0,"R",5
100654,20,"R",83,"R",47,"R",25,"R",11,"R",0,"R",0,"R",0
100654,30,"R",60,"R",2,"R",17,"R",37,"R",3,"R",0,"R",1
100654,40,"R",116,"R",5,"R",13,"R",52,"R",42,"R",0,"R",4
100654,42,"R",116,"R",5,"R",13,"R",52,"R",42,"R",0,"R",4
100663, 0,"R",2444,"R",718,"R",614,"R",894,"R",218,"R",0,"R",0
100663,10,"R",2444,"R",718,"R",614,"R",894,"R",218,"R",0,"R",0
100663,20,"R",855,"R",587,"R",266,"R",2,"R",0,"R",0,"R",0
100663,30,"R",533,"R",11,"R",107,"R",415,"R",0,"R",0,"R",0
100663,40,"R",1056,"R",120,"R",241,"R",477,"R",218,"R",0,"R",0
100663,42,"R",1056,"R",120,"R",241,"R",477,"R",218,"R",0,"R",0
100690, 0,"R",33,"R",13,"R",10,"R",8,"R",2,"R",0,"R",0
100690,10,"R",33,"R",13,"R",10,"R",8,"R",2,"R",0,"R",0
100690,40,"R",33,"R",13,"R",10,"R",8,"R",2,"R",0,"R",0
100690,42,"R",24,"R",9,"R",9,"R",5,"R",1,"R",0,"R",0
100690,43,"R",9,"R",4,"R",1,"R",3,"R",1,"R",0,"R",0
100706, 0,"R",347,"R",64,"R",107,"R",90,"R",14,"R",72,"R",0
100706,10,"R",347,"R",64,"R",107,"R",90,"R",14,"R",72,"R",0
100706,20,"R",158,"R",64,"R",93,"R",1,"R",0,"R",0,"R",0
100706,30,"R",69,"R",0,"R",5,"R",64,"R",0,"R",0,"R",0
100706,40,"R",120,"R",0,"R",9,"R",25,"R",14,"R",72,"R",0
100706,41,"R",118,"R",0,"R",9,"R",24,"R",14,"R",71,"R",0
100706,42,"R",2,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0
100706,44,"R",118,"R",0,"R",9,"R",24,"R",14,"R",71,"R",0
100724, 0,"R",227,"R",54,"R",71,"R",61,"R",38,"R",0,"R",3
100724,10,"R",224,"R",54,"R",71,"R",61,"R",38,"R",0,"R",0
100724,20,"R",112,"R",54,"R",54,"R",4,"R",0,"R",0,"R",0
100724,30,"R",56,"R",0,"R",15,"R",41,"R",0,"R",0,"R",0
100724,40,"R",56,"R",0,"R",2,"R",16,"R",38,"R",0,"R",0
100724,42,"R",56,"R",0,"R",2,"R",16,"R",38,"R",0,"R",0
100724,50,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
100751, 0,"R",1484,"R",311,"R",352,"R",494,"R",310,"R",17,"R",0
100751,10,"R",1484,"R",311,"R",352,"R",494,"R",310,"R",17,"R",0
100751,20,"R",591,"R",283,"R",301,"R",7,"R",0,"R",0,"R",0
100751,30,"R",401,"R",15,"R",20,"R",366,"R",0,"R",0,"R",0
100751,40,"R",492,"R",13,"R",31,"R",121,"R",310,"R",17,"R",0
100751,42,"R",490,"R",13,"R",31,"R",121,"R",308,"R",17,"R",0
100751,43,"R",2,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0
100760, 0,"R",48,"R",0,"R",0,"R",0,"R",0,"R",0,"R",48
100760,10,"R",44,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44
100760,20,"R",35,"R",0,"R",0,"R",0,"R",0,"R",0,"R",35
100760,30,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8
100760,40,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
100760,42,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
100760,50,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4
100812, 0,"R",86,"R",29,"R",19,"R",33,"R",4,"R",0,"R",1
100812,10,"R",86,"R",29,"R",19,"R",33,"R",4,"R",0,"R",1
100812,20,"R",60,"R",29,"R",19,"R",12,"R",0,"R",0,"R",0
100812,30,"R",21,"R",0,"R",0,"R",21,"R",0,"R",0,"R",0
100812,40,"R",5,"R",0,"R",0,"R",0,"R",4,"R",0,"R",1
100812,42,"R",4,"R",0,"R",0,"R",0,"R",4,"R",0,"R",0
100812,43,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
100830, 0,"R",211,"R",51,"R",63,"R",63,"R",0,"R",34,"R",0
100830,10,"R",211,"R",51,"R",63,"R",63,"R",0,"R",34,"R",0
100830,20,"R",108,"R",50,"R",54,"R",4,"R",0,"R",0,"R",0
100830,30,"R",57,"R",0,"R",8,"R",49,"R",0,"R",0,"R",0
100830,40,"R",46,"R",1,"R",1,"R",10,"R",0,"R",34,"R",0
100830,41,"R",13,"R",1,"R",1,"R",10,"R",0,"R",1,"R",0
100830,42,"R",33,"R",0,"R",0,"R",0,"R",0,"R",33,"R",0
100830,44,"R",13,"R",1,"R",1,"R",10,"R",0,"R",1,"R",0
100858, 0,"R",1375,"R",407,"R",385,"R",358,"R",81,"R",136,"R",8
100858,10,"R",1375,"R",407,"R",385,"R",358,"R",81,"R",136,"R",8
100858,20,"R",718,"R",396,"R",321,"R",1,"R",0,"R",0,"R",0
100858,30,"R",336,"R",4,"R",29,"R",303,"R",0,"R",0,"R",0
100858,40,"R",321,"R",7,"R",35,"R",54,"R",81,"R",136,"R",8
100858,43,"R",321,"R",7,"R",35,"R",54,"R",81,"R",136,"R",8
100937, 0,"R",96,"R",39,"R",22,"R",22,"R",12,"R",1,"R",0
100937,10,"R",96,"R",39,"R",22,"R",22,"R",12,"R",1,"R",0
100937,20,"R",60,"R",39,"R",21,"R",0,"R",0,"R",0,"R",0
100937,30,"R",22,"R",0,"R",1,"R",21,"R",0,"R",0,"R",0
100937,40,"R",14,"R",0,"R",0,"R",1,"R",12,"R",1,"R",0
100937,42,"R",14,"R",0,"R",0,"R",1,"R",12,"R",1,"R",0
101028, 0,"R",39,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39
101028,10,"R",39,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39
101028,20,"R",30,"R",0,"R",0,"R",0,"R",0,"R",0,"R",30
101028,30,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9
101116, 0,"R",6,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0
101116,10,"R",6,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0
101116,40,"R",6,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0
101116,41,"R",6,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0
101116,45,"R",6,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0
101143, 0,"R",47,"R",0,"R",0,"R",0,"R",0,"R",0,"R",47
101143,10,"R",47,"R",0,"R",0,"R",0,"R",0,"R",0,"R",47
101143,20,"R",32,"R",0,"R",0,"R",0,"R",0,"R",0,"R",32
101143,30,"R",13,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13
101143,40,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101143,41,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101143,45,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101161, 0,"R",161,"R",0,"R",0,"R",0,"R",0,"R",0,"R",161
101161,10,"R",161,"R",0,"R",0,"R",0,"R",0,"R",0,"R",161
