UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",780,"R",0,"R",780,"R",61,"R",8,"R",249,"R",32,"R",0,"R",780,"R",24,"R",15,"R",273,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1539,"R",5,"R",1534,"R",463,"R",30,"R",813,"R",53,"R",0,"R",1534,"R",49,"R",22,"R",862,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",7,"R",0,"R",7,"R",1,"R",14,"R",2,"R",29,"Z",0,"R",7,"R",0,"Z",0,"R",2,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",600,"R",0,"R",600,"R",92,"R",15,"R",292,"R",49,"Z",0,"R",600,"R",16,"R",12,"R",308,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1090,"R",0,"R",1090,"R",79,"R",7,"R",236,"R",22,"R",0,"R",1090,"R",51,"R",23,"R",287,"R",26,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",5489,"R",46,"R",5443,"R",2387,"R",44,"R",3740,"R",69,"R",0,"R",5443,"R",110,"R",34,"R",3850,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",388,"R",0,"R",388,"R",72,"R",19,"R",108,"R",28,"R",0,"R",388,"R",26,"R",17,"R",134,"R",35
100830,"R",682,"R",1,"R",681,"R",49,"R",7,"R",154,"R",23,"R",1,"R",680,"R",35,"R",8,"R",189,"R",28,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",4193,"R",0,"R",4193,"R",1963,"R",47,"R",3145,"R",75,"R",0,"R",4193,"R",88,"R",18,"R",3233,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",368,"R",0,"R",368,"R",228,"R",62,"R",251,"R",68,"R",0,"R",368,"R",1,"R",0,"R",252,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",337,"R",0,"R",337,"R",39,"R",12,"R",66,"R",20,"R",0,"R",337,"R",37,"R",0,"R",103,"R",31
101116,"R",19,"R",0,"R",19,"R",0,"R",0,"R",2,"R",11,"Z",0,"R",19,"R",0,"Z",0,"R",2,"R",11,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",316,"R",0,"R",316,"R",34,"R",11,"R",61,"R",19,"R",0,"R",316,"R",6,"R",7,"R",67,"R",21
101161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",964,"R",0,"R",964,"R",17,"R",2,"R",138,"R",14,"R",0,"R",964,"R",132,"R",0,"R",270,"R",28
101189,"R",256,"R",0,"R",256,"R",43,"R",17,"R",82,"R",32,"R",0,"R",256,"R",5,"R",0,"R",87,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101240,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1044,"R",0,"R",1044,"R",99,"R",9,"R",207,"R",20,"R",0,"R",1044,"R",79,"R",64,"R",286,"R",27
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",87,"R",0,"R",87,"R",36,"R",41,"R",73,"R",84,"Z",0,"R",87,"R",0,"Z",0,"R",73,"R",84
101286,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",855,"R",0,"R",855,"R",99,"R",12,"R",203,"R",24,"Z",0,"R",855,"R",124,"Z",0,"R",327,"R",38
101295,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",935,"R",2,"R",933,"R",132,"R",14,"R",369,"R",40,"R",1,"R",932,"R",25,"R",40,"R",394,"R",42
101301,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",383,"R",0,"R",383,"R",10,"R",3,"R",85,"R",22,"R",0,"R",383,"R",14,"R",8,"R",99,"R",26
101365,"R",1,"R",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,"R",272,"R",1,"R",271,"R",71,"R",26,"R",105,"R",39,"R",0,"R",271,"R",0,"R",2,"R",105,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101453,"R",4,"R",0,"R",4,"Z",0,"R",0,"R",2,"R",50,"Z",0,"R",4,"R",0,"Z",0,"R",2,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101462,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",145,"R",0,"R",145,"R",13,"R",9,"R",21,"R",14,"R",0,"R",145,"R",4,"R",3,"R",25,"R",17
101471,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",266,"R",0,"R",266,"R",94,"R",35,"R",114,"R",43,"Z",0,"R",266,"R",20,"R",0,"R",134,"R",50
101480,"R",1246,"R",0,"R",1246,"R",180,"R",14,"R",442,"R",35,"R",0,"R",1246,"R",41,"R",25,"R",483,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101505,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1096,"R",0,"R",1096,"R",50,"R",5,"R",96,"R",9,"R",0,"R",1096,"R",54,"R",75,"R",150,"R",14
101514,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1260,"R",1,"R",1259,"R",190,"R",15,"R",320,"R",25,"R",0,"R",1259,"R",57,"R",93,"R",377,"R",30
101541,"R",93,"R",0,"R",93,"R",29,"R",31,"R",36,"R",39,"R",0,"R",93,"R",0,"R",1,"R",36,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101569,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",649,"R",0,"R",649,"R",67,"R",10,"R",93,"R",14,"R",0,"R",649,"R",20,"R",30,"R",113,"R",17
101587,"R",256,"R",0,"R",256,"R",40,"R",16,"R",75,"R",29,"Z",0,"R",256,"R",1,"R",4,"R",76,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101602,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",447,"R",1,"R",446,"R",99,"R",22,"R",155,"R",35,"R",0,"R",446,"R",17,"R",13,"R",172,"R",39
101648,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",278,"R",2,"R",276,"R",86,"R",31,"R",95,"R",34,"Z",0,"R",276,"R",0,"Z",0,"R",95,"R",34
101675,"R",343,"R",0,"R",343,"R",13,"R",4,"R",57,"R",17,"R",0,"R",343,"R",5,"R",4,"R",62,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101693,"R",231,"R",0,"R",231,"R",60,"R",26,"R",111,"R",48,"R",0,"R",231,"R",4,"R",1,"R",115,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101709,"R",425,"R",0,"R",425,"R",121,"R",28,"R",212,"R",50,"Z",0,"R",425,"R",10,"R",4,"R",222,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101736,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",685,"R",0,"R",685,"R",94,"R",14,"R",108,"R",16,"R",0,"R",685,"R",45,"R",0,"R",153,"R",22
101879,"R",961,"R",0,"R",961,"R",152,"R",16,"R",418,"R",43,"R",2,"R",959,"R",27,"R",11,"R",445,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101897,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",534,"R",0,"R",534,"R",100,"R",19,"R",172,"R",32,"R",0,"R",534,"R",43,"R",27,"R",215,"R",40
101912,"R",455,"R",0,"R",455,"R",89,"R",20,"R",213,"R",47,"Z",0,"R",455,"R",20,"R",7,"R",233,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101994,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",79,"R",0,"R",79,"R",12,"R",15,"R",21,"R",27,"R",0,"R",79,"R",8,"R",0,"R",29,"R",37
102030,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",675,"R",0,"R",675,"R",72,"R",11,"R",99,"R",15,"R",0,"R",675,"R",31,"R",0,"R",130,"R",19
102049,"R",712,"R",1,"R",711,"R",417,"R",59,"R",516,"R",73,"R",0,"R",711,"R",5,"R",1,"R",521,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102058,"R",280,"R",0,"R",280,"R",2,"R",1,"R",4,"R",1,"Z",0,"R",280,"R",0,"Z",0,"R",4,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102067,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",719,"R",0,"R",719,"R",49,"R",7,"R",114,"R",16,"R",0,"R",719,"R",45,"R",56,"R",159,"R",22
102076,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",707,"R",0,"R",707,"R",220,"R",31,"R",302,"R",43,"R",0,"R",707,"R",116,"R",69,"R",418,"R",59
