UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
101277,"R",80,"R",0,"R",80,"R",49,"R",74,"R",0,"R",0,"R",6,"R",59,"Z",0,"R",59,"R",53,"R",7,"Z",0,"R",7,"R",7,"R",14,"Z",0,"R",14,"R",14
102711,"R",284,"R",0,"R",284,"R",258,"R",258,"R",0,"R",0,"R",26,"R",28,"Z",0,"R",28,"R",26,"R",3,"Z",0,"R",3,"R",3,"R",253,"Z",0,"R",253,"R",229
103741,"R",37,"R",0,"R",37,"R",0,"R",14,"R",0,"R",0,"R",23,"R",36,"Z",0,"R",36,"R",14,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",0
103954,"R",10,"R",0,"R",10,"R",4,"R",4,"R",0,"R",0,"R",6,"R",9,"Z",0,"R",9,"R",3,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
103963,"R",1011,"R",1,"R",1010,"R",303,"R",522,"R",0,"R",0,"R",488,"R",777,"R",0,"R",777,"R",444,"R",59,"R",0,"R",59,"R",22,"R",175,"R",1,"R",174,"R",56
104391,"R",47,"R",0,"R",47,"R",10,"R",24,"R",0,"R",0,"R",23,"R",17,"Z",0,"R",17,"R",17,"R",4,"Z",0,"R",4,"R",4,"R",26,"Z",0,"R",26,"R",3
104434,"R",13,"R",0,"R",13,"R",0,"R",5,"R",0,"R",0,"R",8,"R",12,"Z",0,"R",12,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
104443,"R",17,"R",0,"R",17,"R",0,"R",8,"R",0,"R",1,"R",8,"R",16,"Z",0,"R",16,"R",7,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
104504,"R",48,"R",0,"R",48,"R",36,"R",38,"R",0,"R",0,"R",10,"R",17,"Z",0,"R",17,"R",15,"R",28,"Z",0,"R",28,"R",21,"R",3,"Z",0,"R",3,"R",2
104568,"R",268,"R",0,"R",268,"R",154,"R",184,"R",0,"R",5,"R",79,"R",95,"Z",0,"R",95,"R",93,"R",10,"Z",0,"R",10,"R",6,"R",163,"Z",0,"R",163,"R",85
105482,"R",29,"Z",0,"R",29,"R",21,"R",23,"R",0,"R",0,"R",6,"R",13,"Z",0,"R",13,"R",9,"R",12,"Z",0,"R",12,"R",11,"R",4,"Z",0,"R",4,"R",3
105677,"R",32,"R",0,"R",32,"R",30,"R",30,"R",0,"R",0,"R",2,"R",15,"Z",0,"R",15,"R",15,"R",2,"Z",0,"R",2,"R",2,"R",15,"Z",0,"R",15,"R",13
106111,"R",36,"R",0,"R",36,"R",1,"R",16,"R",0,"R",0,"R",20,"R",34,"Z",0,"R",34,"R",15,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",0
106315,"R",8,"R",0,"R",8,"R",6,"R",6,"R",0,"R",0,"R",2,"R",7,"Z",0,"R",7,"R",6,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0
106324,"R",22,"R",0,"R",22,"R",9,"R",12,"R",0,"R",0,"R",10,"R",18,"Z",0,"R",18,"R",8,"R",1,"Z",0,"R",1,"R",1,"R",3,"Z",0,"R",3,"R",3
106351,"R",8,"R",0,"R",8,"R",6,"R",6,"R",0,"R",0,"R",2,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",0,"R",6,"Z",0,"R",6,"R",5
106360,"R",33,"Z",0,"R",33,"R",12,"R",17,"Z",0,"R",10,"R",6,"R",28,"Z",0,"R",28,"R",12,"R",1,"Z",0,"R",1,"R",1,"R",4,"Z",0,"R",4,"R",4
106494,"R",28,"R",0,"R",28,"R",3,"R",10,"R",1,"R",0,"R",17,"R",17,"Z",0,"R",17,"R",8,"R",1,"Z",0,"R",1,"R",1,"R",10,"Z",0,"R",10,"R",1
106829,"R",67,"R",0,"R",67,"R",29,"R",46,"R",1,"R",0,"R",20,"R",62,"Z",0,"R",62,"R",45,"R",0,"Z",0,"R",0,"R",0,"R",5,"Z",0,"R",5,"R",1
106892,"R",304,"Z",0,"R",304,"R",173,"R",194,"Z",0,"Z",0,"R",110,"R",261,"Z",0,"R",261,"R",167,"R",34,"Z",0,"R",34,"R",19,"R",9,"Z",0,"R",9,"R",8
106908,"R",109,"R",0,"R",109,"R",70,"R",72,"R",0,"R",0,"R",37,"R",86,"Z",0,"R",86,"R",53,"R",17,"Z",0,"R",17,"R",15,"R",6,"Z",0,"R",6,"R",4
107099,"R",9,"R",0,"R",9,"R",1,"R",7,"R",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",9,"Z",0,"R",9,"R",7
107220,"R",174,"R",0,"R",174,"R",71,"R",101,"R",2,"R",0,"R",71,"R",112,"Z",0,"R",112,"R",39,"R",15,"Z",0,"R",15,"R",15,"R",47,"Z",0,"R",47,"R",47
107293,"R",30,"R",0,"R",30,"R",0,"R",7,"R",0,"R",0,"R",23,"R",28,"Z",0,"R",28,"R",6,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",0
107442,"R",31,"R",0,"R",31,"R",3,"R",24,"R",0,"R",0,"R",7,"R",30,"Z",0,"R",30,"R",23,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
107488,"R",172,"R",6,"R",166,"R",36,"R",108,"R",2,"R",20,"R",36,"R",108,"R",5,"R",103,"R",101,"R",0,"R",0,"R",0,"R",0,"R",64,"R",1,"R",63,"R",7
107655,"R",15,"R",0,"R",15,"R",11,"R",11,"R",0,"R",0,"R",4,"R",12,"Z",0,"R",12,"R",8,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0
107789,"R",45,"R",0,"R",45,"R",29,"R",29,"R",0,"R",0,"R",16,"R",29,"Z",0,"R",29,"R",17,"R",11,"Z",0,"R",11,"R",8,"R",5,"Z",0,"R",5,"R",4
107831,"R",39,"R",0,"R",39,"R",0,"R",8,"R",0,"R",0,"R",31,"R",31,"Z",0,"R",31,"R",8,"R",0,"Z",0,"R",0,"R",0,"R",8,"Z",0,"R",8,"R",0
108065,"R",21,"R",0,"R",21,"R",2,"R",15,"R",2,"R",2,"R",2,"R",16,"Z",0,"R",16,"R",15,"R",3,"Z",0,"R",3,"R",0,"R",2,"Z",0,"R",2,"R",0
108348,"R",31,"R",0,"R",31,"R",4,"R",26,"R",0,"R",0,"R",5,"R",26,"Z",0,"R",26,"R",26,"R",4,"Z",0,"R",4,"R",0,"R",1,"Z",0,"R",1,"R",0
108649,"R",53,"R",0,"R",53,"R",35,"R",45,"R",0,"R",8,"R",0,"R",34,"Z",0,"R",34,"R",32,"R",2,"Z",0,"R",2,"R",2,"R",17,"Z",0,"R",17,"R",11
108977,"R",30,"R",0,"R",30,"R",13,"R",15,"R",0,"R",0,"R",15,"R",24,"Z",0,"R",24,"R",15,"R",1,"Z",0,"R",1,"R",0,"R",5,"Z",0,"R",5,"R",0
109721,"R",475,"R",0,"R",475,"R",226,"R",306,"R",0,"R",0,"R",169,"R",320,"Z",0,"R",320,"R",196,"R",5,"Z",0,"R",5,"R",5,"R",150,"Z",0,"R",150,"R",105
109730,"R",167,"R",0,"R",167,"R",81,"R",106,"R",0,"R",0,"R",61,"R",162,"Z",0,"R",162,"R",103,"R",5,"Z",0,"R",5,"R",3,"R",0,"Z",0,"R",0,"R",0
110194,"R",273,"R",2,"R",271,"R",215,"R",224,"R",0,"R",2,"R",45,"R",221,"R",2,"R",219,"R",177,"R",34,"R",0,"R",34,"R",32,"R",18,"R",0,"R",18,"R",15
110875,"R",27,"R",0,"R",27,"R",15,"R",18,"R",0,"R",0,"R",9,"R",21,"Z",0,"R",21,"R",13,"R",2,"Z",0,"R",2,"R",2,"R",4,"Z",0,"R",4,"R",3
111054,"R",87,"R",1,"R",86,"R",57,"R",57,"R",1,"R",0,"R",28,"R",71,"R",1,"R",70,"R",48,"R",7,"R",0,"R",7,"R",5,"R",9,"R",0,"R",9,"R",4
