UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",535,"R",30034826,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",412119,"R",94,"R",9602226,"R",35,"R",1881911,"R",47,"R",2260989,"R",104,"R",5745103,"Z",0,"Z",0,"R",41,"R",1600051,"Z",0,"Z",0,"R",181,"R",7642372,"R",20,"R",757538,"R",5,"R",132517
100663,"R",3326,"R",194698898,"Z",0,"Z",0,"Z",0,"Z",0,"R",160,"R",8909121,"R",334,"R",38448940,"R",583,"R",35477947,"R",529,"R",36899719,"R",217,"R",13401630,"R",91,"R",5448756,"R",547,"R",17703482,"Z",0,"Z",0,"R",498,"R",20251568,"R",291,"R",14760681,"R",76,"R",3397054
100690,"R",28,"R",1808446,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",549629,"R",1,"R",275675,"R",7,"R",541069,"R",6,"R",305515,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",93981,"R",1,"R",42577,"Z",0,"Z",0
100706,"R",1000,"R",67958195,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",648314,"R",98,"R",13585455,"R",83,"R",4166850,"R",407,"R",33236585,"R",82,"R",4014890,"R",1,"R",89810,"R",111,"R",3611262,"Z",0,"Z",0,"R",187,"R",7808582,"R",16,"R",771174,"R",1,"R",25273
100724,"R",559,"R",26071487,"R",4,"R",157000,"Z",0,"Z",0,"R",100,"R",4201811,"R",65,"R",6116745,"R",36,"R",1654931,"R",24,"R",1287753,"R",78,"R",4269136,"R",2,"R",86000,"R",114,"R",3293296,"R",4,"R",127040,"R",94,"R",3459235,"R",36,"R",1342549,"R",2,"R",75991
100733,"R",85,"R",11508834,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",3881045,"R",20,"R",1902860,"R",6,"R",444821,"R",21,"R",3864385,"Z",0,"Z",0,"R",3,"R",181204,"Z",0,"Z",0,"R",20,"R",1234519,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",4469,"R",260004067,"Z",0,"Z",0,"Z",0,"Z",0,"R",189,"R",9087802,"R",570,"R",67019634,"R",545,"R",32583832,"R",482,"R",30633443,"R",552,"R",33788943,"R",222,"R",12232649,"R",691,"R",27061950,"R",24,"R",683240,"R",842,"R",29293304,"R",229,"R",12673285,"R",123,"R",4945985
100760,"R",69,"R",3998085,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",225798,"R",17,"R",1617865,"R",7,"R",333876,"R",2,"R",87272,"R",1,"R",55583,"Z",0,"Z",0,"R",13,"R",450821,"Z",0,"Z",0,"R",25,"R",1226870,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",143,"R",8568370,"Z",0,"Z",0,"Z",0,"Z",0,"R",31,"R",1835201,"R",31,"R",2995829,"R",4,"R",252099,"R",12,"R",754912,"R",9,"R",435456,"Z",0,"Z",0,"R",7,"R",263460,"Z",0,"Z",0,"R",39,"R",1542203,"R",8,"R",394051,"R",2,"R",95159
100830,"R",312,"R",15834674,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",932410,"R",88,"R",6922850,"R",18,"R",1059380,"R",33,"R",2050280,"R",16,"R",669080,"R",3,"R",243600,"R",31,"R",812020,"R",2,"R",62750,"R",95,"R",3051744,"Z",0,"Z",0,"R",1,"R",30560
