UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
100654,"R",66,"R",477708,"R",7238,"R",16,"R",118292,"R",7393,"R",82,"R",596000,"R",7268,"R",4,"R",17882,"R",4471,"R",0,"R",0,"A",,"R",4,"R",17882,"R",4471
100663,"R",419,"R",3580932,"R",8546,"R",142,"R",1416165,"R",9973,"R",561,"R",4997097,"R",8907,"R",21,"R",55000,"R",2619,"R",20,"R",36859,"R",1843,"R",41,"R",91859,"R",2240
100690,"R",2,"R",1000,"R",500,"R",2,"R",500,"R",250,"R",4,"R",1500,"R",375,"R",2,"R",1000,"R",500,"R",2,"R",1000,"R",500,"R",4,"R",2000,"R",500
100706,"R",291,"R",2599975,"R",8935,"R",67,"R",409553,"R",6113,"R",358,"R",3009528,"R",8407,"R",2,"R",7500,"R",3750,"R",6,"R",10668,"R",1778,"R",8,"R",18168,"R",2271
100724,"R",141,"R",512442,"R",3634,"R",11,"R",39087,"R",3553,"R",152,"R",551529,"R",3628,"R",11,"R",48956,"R",4451,"R",0,"R",0,"A",,"R",11,"R",48956,"R",4451
100751,"R",982,"R",11337917,"R",11546,"R",130,"R",1032750,"R",7944,"R",1112,"R",12370667,"R",11125,"R",79,"R",248271,"R",3143,"R",18,"R",38500,"R",2139,"R",97,"R",286771,"R",2956
100760,"R",20,"R",61358,"R",3068,"A",,"A",,"A",,"R",20,"R",61358,"R",3068,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
100812,"R",96,"R",394468,"R",4109,"R",3,"R",9085,"R",3028,"R",99,"R",403553,"R",4076,"R",5,"R",10000,"R",2000,"R",2,"R",7406,"R",3703,"R",7,"R",17406,"R",2487
100830,"R",203,"R",3429674,"R",16895,"R",30,"R",534976,"R",17833,"R",233,"R",3964650,"R",17016,"R",12,"R",36500,"R",3042,"R",0,"R",0,"A",,"R",12,"R",36500,"R",3042
100858,"R",653,"R",7008920,"R",10733,"R",147,"R",1920454,"R",13064,"R",800,"R",8929374,"R",11162,"R",11,"R",40000,"R",3636,"R",23,"R",90349,"R",3928,"R",34,"R",130349,"R",3834
100937,"R",20,"R",526847,"R",26342,"A",,"A",,"A",,"R",20,"R",526847,"R",26342,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
